sensor,latitude,longitude,coord_m,vertices_coords,encl_area_m
WLW1,41.607313,-87.690286,"[262.46299336111406, 320.3884215191938]","[[-1561.3700977014767, 247.7071897553226], [218.3438256420625, 185.71969083136565], [300.3368601932649, 224.69002393563426], [301.3277797890841, 225.89922310596467], [309.32146012945, 441.0102557640603], [-452.973116581521, 2050.398672922188]]",68831.9317437
WLW2,41.607279,-87.689271,"[347.09826460824115, 317.2433141041547]","[[387.06605862159284, 268.0499043692675], [423.2685938612407, 324.83998641382584], [309.32146012945, 441.0102557640603], [301.3277797890841, 225.89922310596467]]",14167.0917026
WLW3,41.608026,-87.688241,"[432.3354550811928, 400.8493313413346]","[[-452.973116581521, 2050.398672922188], [309.32146012945, 441.0102557640603], [423.2685938612407, 324.83998641382584], [465.9926572653352, 329.5072376105116], [595.2799913562056, 526.9058623403562], [2851.0176089106963, 7712.050784054038], [3352.07260193235, 9420.900687624791]]",11091.1261249
WLW4,41.60669,-87.68806,"[448.5325462372857, 252.58099943620618]","[[667.788405285755, -16.913818218231683], [605.985035767522, 148.7353728098627], [465.9926572653352, 329.5072376105116], [423.2685938612407, 324.83998641382584], [387.06605862159284, 268.0499043692675]]",26921.6151641
WLW5,41.607355,-87.686898,"[544.8406635438441, 327.1634153762134]","[[605.985035767522, 148.7353728098627], [465.9926572653352, 329.5072376105116], [595.2799913562056, 526.9058623403562]]",21599.3606922
WLW6,41.607376,-87.685553,"[656.9378952770494, 330.336602807045]","[[683.0497912912006, -48.343803486048046], [697.5452775393596, -71.06199100619565], [2851.0176089106963, 7712.050784054038], [595.2799913562056, 526.9058623403562], [605.985035767522, 148.7353728098627], [667.788405285755, -16.913818218231683]]",68034.4542763
WLW7,41.604864,-87.690424,"[252.98641169723123, 48.30768547265325]","[[1278.6226788570357, -2143.9514337703204], [770.6778665967577, -437.1368080234088], [218.3438256420625, 185.71969083136565], [-1561.3700977014767, 247.7071897553226]]",56674.2393458
WLW8,41.605637,-87.689245,"[350.6268648339901, 134.892871853197]","[[683.0497912912006, -48.343803486048046], [697.5452775393596, -71.06199100619565], [770.6778665967577, -437.1368080234088], [218.3438256420625, 185.71969083136565], [300.3368601932649, 224.69002393563426]]",36915.0898233
WLW9,41.606277,-87.688627,"[401.6115548449452, 206.3583761076443]","[[683.0497912912006, -48.343803486048046], [300.3368601932649, 224.69002393563426], [301.3277797890841, 225.89922310596467], [387.06605862159284, 268.0499043692675], [667.788405285755, -16.913818218231683]]",21406.1198296
WLW10,41.606655,-87.68218,"[938.7042402399238, 252.37601745699067]","[[697.5452775393596, -71.06199100619565], [770.6778665967577, -437.1368080234088], [1278.6226788570357, -2143.9514337703204], [3352.07260193235, 9420.900687624791], [2851.0176089106963, 7712.050784054038]]",88927.5061562
